Parental Industry,Industry
Other,International Trade & Development
Other,International Trading
Other,Internet
Other,Investment and Asset Management
Other,Investment and Business Consulting
Other,Investment and Holdings
Other,Investment Management
Other,IoT Solutions
Other,IT & Blockchain Solutions
Other,IT and Business Consulting
Other,IT and communication services provider in Australia.
Other,It And Consulting
Other,IT and Cybersecurity
Other,IT and Training Services
Other,IT Consulting and Services
Other,IT Services
Other,IT Services (Cloud Solutions)
Other,IT Services & Cybersecurity
Other,IT services and solutions provider.
Other,IT services and solutions.
Other,IT Solutions
Other,IT Solutions (AI Data Science)
Other,IT Solutions & Infrastructure
Other,IT solutions and business consulting.
Other,IT solutions and consulting services.
Other,IT solutions and digital transformation services.
Other,Job and career services in Australia.
Other,Leadership and Executive Coaching
Other,Leadership Consulting
Other,led pool lights
Other,Legislative Office
Other,Leisure Travel & Tourism
Other,"Leisure, Travel & Tourism"
Other,Libraries
Other,Lifestyle / Creative Content (Potentially Fashion)
Other,Lifestyle and Leisure Goods
Other,Lighting / Electrical Services
Other,Livestock Weighing Solutions
Other,Luggage and travel solutions.
Other,Luxury Goods & Jewelry
Other,Machinery
Other,Machinery and Equipment
Other,Mailing / Fulfillment Services
Other,Management Consulting
Other,Marine – Marine services and products
Other,Marine Electronics
Other,marine science
Other,Maritime
Other,Market Research
Other,masterflo
Other,Mechanical Or Industrial Engineering
Other,Membership-based services or community platform.
Other,Mental Health Care
Other,Mental Health Services
Other,Military
Other,Miniature Art Studio
Other,Mining & Civil Services
Other,Mining & Metals
Other,mobile app
Other,Mortgage Services
Other,Museums & Institutions
Other,Non-Profit – Advocacy and community engagement
Other,Non-Profit – Animal rescue and shelter services
Other,Non-Profit – Charitable organization for housing solutions
Other,Non-Profit – Community services and advocacy
Other,Non-Profit – Community services and network support
Other,Non-Profit – Community services and research
Other,Non-Profit – Community support and services
Other,Non-profit – Creationism and science-faith resources
Other,Non-Profit – Cultural and community engagement
Other,Non-Profit – Fair trade and social enterprise
Other,Non-Profit / Animal Shelter
Other,Non-Profit / Community Support
Other,Non-Profit / Cultural Heritage
Other,Non-Profit / Health & Community Services
Other,Non-Profit / Health Network
Other,Non-Profit Health
Other,Non-profit organization focused on global development.
Other,Non-Profit Pregnancy Support
Other,Non-Profit/Religious – Anglican Church resources
Other,Nonprofit Organization Management
Other,Nutrition and Health Coaching
Other,Office Supplies and Equipment
Other,Offshore Workforce Solutions
Other,Oil & Energy
Other,Oil & Gas
Other,oil water separation below 1ppm
Other,Online auction and bidding platform.
Other,Online Marketplace (Art & Crafts)
Other,Online marketplace in Cambodia.
Other,Optometry
Other,Oral Care / Eco-friendly Products
Other,Outdoor Equipment and Apparel
Other,Outsourcing/offshoring
Other,Package/freight Delivery
Other,Packaging & Containers
Other,Packaging Solutions
Other,Paper & Forest Products
Other,Performing Arts
Other,Personal Development
Other,Personal Development/Fitness Coaching
Other,Personal Styling and Image Consulting
Other,Pet Care Products
Other,Pet Services – Dog training and behavior services
Other,Pet Services – Pet cremation and memorial services
Other,Pet Services – Pet products and services
Other,Pet Services – Pet sitting and care services
Other,Pharmaceuticals
Other,Philanthropy
Other,Photography
Other,Photography – Professional photography services
Other,Photography Services
Other,photonics
Other,Planning and Architecture
Other,Plant nursery and horticultural services.
Other,Plastics
Other,plc scada
Other,Political Organization
Other,Pool Maintenance and Services
Other,Pool Services / Maintenance
Other,precast & concrete
Other,Printing
Other,Printing – Commercial printing services
Other,Printing – Custom stickers and labels
Other,Printing & Publishing
Other,Printing and Packaging Solutions
Other,Printing and Promotional Products
Other,Product Development and Innovation
Other,Products and services for babies and children.
Other,Professional Networking/Consulting
Other,Professional Services – Virtual Personal Assistant services
Other,Professional Services (Audit Tax and Advisory)
Other,Professional Services / Consulting
Other,Professional Training & Coaching
Other,Program Development
Other,project management
Other,Promotional Products and Graphics
Other,Property Development
Other,Property development and management services.
Other,Property Inspection Services
Other,Property Management
Other,Property management solutions.
Other,Property Services
Other,Public Policy
Other,Public Relations & Communications
Other,Public Relations and Reputation Management
Other,Public Safety
Other,Publishing
Other,quantum cybersecurity
Other,Railroad Manufacture
Other,Ranching
Other,rare earths
Other,Recreational Facilities & Services
Other,Recruitment / Employment Services
Other,Recruitment & Staffing
Other,Recruitment and HR Consulting
Other,Recruitment and HR Services
Other,Recruitment Services
Other,Recruitment Services (Construction)
Other,Rehabilitation Services
Other,Religious Institutions
Other,Renewable Energy Solutions
Other,renewables
Other,Renewables & Environment
Other,Research
Other,risk assessment
Other,Risk Management Consulting
Other,ruby on rails
Other,Safety equipment and workplace solutions.
Other,Scanning solutions and document management.
Other,scientific analysis
Other,Security – Online data storage and security solutions
Other,Security – Safety and security solutions
Other,Security & Investigations
Other,Security & Monitoring Solutions
Other,Security Services
Other,Security Solutions
Other,Semiconductors
Other,Services – Pool maintenance and cleaning in Brisbane
Other,Shipbuilding
Other,Signage Solutions
Other,Skincare – Organic skincare products
Other,Skincare / Beauty Products
Other,Skincare and Beauty Products
Other,Skincare/Personal Care Products
Other,Social networking and event planning platform.
Other,solar
Other,Solar Energy Solutions
Other,Sponsorship Management
Other,Sporting Goods
Other,Sports
Other,Sports – Sports analytics and statistics
Other,Sports / Netball Association
Other,Sports Apparel
Other,Staffing & Recruiting
Other,statistical analysis
Other,stockpile management
Other,Storage and Organization Solutions
Other,stormwater
Other,structural engineering
Other,Subscription management services.
Other,Support Services
Other,survey
Other,Survey and research services.
Other,Surveying and Engineering Services
Other,sustainable engineering
Other,system safety engineering
Other,Talent Acquisition and Recruitment
Other,Talent and HR Solutions
Other,talent communities
Other,Technical / Industrial Services (Unclear)
Other,Technical Solutions and Services
Other,Telecom/IT Services
Other,Telecommunication and IT services.
Other,Telecommunications
Other,Telecommunications Services
Other,test instruments
Other,Textiles
Other,thermal management
Other,Think Tanks
Other,Tile Supply and Flooring
Other,timesheets
Other,Tobacco
Other,Tourism
Other,Tourism and Adventure Sports
Other,Tourism/Travel
Other,Trade – International trade consultancy
Other,Translation & Localization
Other,Transport
Other,Transport (Luxury
Other,transport & its
Other,transport planning
Other,Travel
Other,Travel – Ski holiday packages and snow adventures
Other,Travel and Tourism
Other,Travel and tourism services focused on golf tourism.
Other,Travel and tourism services in Asia.
Other,Travel and tourism services.
Other,Travel or transport services in Malaysia.
Other,Utilities
Other,Utilities – Natural gas and water services
Other,"Various sectors, potentially in construction or development."
Other,"Various services, likely in consulting or product offerings."
Other,"Various services, possibly in tech or consulting."
Other,"Various services, specifics may vary."
Other,Various services; specifics may vary.
Other,Various tech solutions; specifics may vary.
Other,ventilation
Other,Venture Capital
Other,Venture Capital & Private Equity
Other,Veterinary
Other,Veterinary – Animal care and veterinary services
Other,Veterinary – Veterinary services and pet care
Other,Warehousing
Other,Warehousing / Storage Solutions
Other,Waste Management
Other,Waste management and environmental consulting.
Other,Water Dispensers and Filtration
Other,Water Management Solutions
Other,Waterproofing & Building Materials
Other,Waterproofing Solutions
Other,Web Development and Management
Other,Web Hosting/IT Services
Other,Wellness and Retreat Services
Other,Wellness Coaching
Other,Wholesale
Other,Wholesale marketplace offering various products.
Other,Wine & Spirits
Other,Winery – Boutique vineyard producing wine & verjuice
Other,Winery – Boutique wine producer
Other,Winery – Sparkling wines from Tasmania
Other,Winery and Events
Other,Wireless
Other,Workforce Development and Training
Other,Writing & Editing
Other,"XR technologies, including AR and VR solutions."
Other,Yoga and Wellness
